t,lat,lon,alt,v1,v2,v3,a1,a2,a3
2350,51.6548412851334,48.043400319084,417081.326078345,-5597.81510750291,4775.15872195364,154.82762047768,-2.88610012899434,-3.16869988657184,-6.77926326334685
2355,51.6640780193352,48.5423720557048,417094.296512631,-5612.16251671384,4759.24486819327,120.92911447439,-2.85284811826695,-3.19682434649709,-6.78010322413104
2360,51.6710164281528,49.0415268016098,417106.747832379,-5626.34347868568,4743.19060064927,87.0269472053829,-2.81952698351143,-3.22487184509688,-6.780727766764
2365,51.6756552710781,49.5408122404685,417118.679470676,-5640.35766418855,4726.99628972603,53.122195806152,-2.78613768663325,-3.25284156564383,-6.78113687395906
2370,51.6779937258938,50.0401757917935,417130.090942383,-5654.20473484611,4710.66232637353,19.215937489179,-2.75268120181921,-3.28073268444015,-6.78133053226326
2373.45517700829,51.6782653757746,50.3852719244934,417137.672534412,-5663.67574896654,4699.29357130766,-4.21480320720597,-2.72952283102663,-3.29996008722599,-6.78133846888697
2373.45517700833,51.6782653757746,50.3852719244972,417137.672534412,-5663.67574896665,4699.29357130752,-4.21480320745266,-2.72952283102638,-3.2999600872262,-6.78133846888697
2375,51.6780313894157,50.5395649856767,417140.981844427,-5667.88437093326,4694.1890890277,-14.6907504760398,-2.71915849686748,-3.30854438725431,-6.78130873234498
2380,51.6757682778582,51.0389268290389,417151.35185611,-5681.39621625619,4677.57701007854,-48.5967907841663,-2.68557057221303,-3.33627583733509,-6.78107146934458
2385,51.6712048268265,51.5382088528972,417161.200739412,-5694.73996094967,4660.82647620884,-82.5011061177264,-2.65191840315007,-3.36392622362678,-6.78061874325562
2390,51.6643418909327,52.0373586467054,417170.528339265,-5707.91529988668,4643.93787803592,-116.402619172184,-2.61820296860741,-3.39149473633195,-6.77995055934478
2395,51.6551807430357,52.536323392607,417179.334583861,-5720.92189197115,4626.91166046011,-150.300252683347,-2.58442528130367,-3.41898054428001,-6.77906692858218
2400,51.6437230731112,53.0350509123796,417187.619484886,-5733.75944205484,4609.7482222939,-184.192929457062,-2.55058632826495,-3.44638284145166,-6.77796786805846
2405,51.6299709867485,53.5334892012632,417195.383137762,-5746.42765978317,4592.44796626204,-218.079572400791,-2.51668710007571,-3.47370082349759,-6.77665340139033
2410,51.6139270032796,54.0315859614763,417202.625721816,-5758.92621934277,4575.01134968338,-251.959104557106,-2.48272862149081,-3.5009336660502,-6.77512355908969
2415,51.5955940535466,54.5292896482383,417209.347500439,-5771.25484047397,4557.43878341442,-285.830449139097,-2.4487118902405,-3.52808056948379,-6.77337837887618
2420,51.5749754773082,55.0265490024576,417215.548821163,-5783.41324775811,4539.73068219587,-319.692529567038,-2.414637906761,-3.55514073631283,-6.77141790593765
2425,51.5520750202915,55.5233125829365,417221.230115713,-5795.40113082916,4521.8875156517,-353.544269506157,-2.38050770529512,-3.58211335035997,-6.76924219312166
2430,51.526896830899,56.0195298108584,417226.391899992,-5807.21822445461,4503.90970657676,-387.38459290538,-2.3463222910706,-3.60899761964159,-6.76685130104757
2435,51.4994454565716,56.5151505007788,417231.034774019,-5818.86426827363,4485.79768161547,-421.212424036276,-2.31208267060367,-3.63579275455032,-6.76424529815102
2440,51.4697258398184,57.010124390935,417235.159421828,-5830.33896747912,4467.55192256813,-455.026687532016,-2.2777898834103,-3.66249794778673,-6.76142426065604
2445,51.4377433139223,57.5044021856713,417238.766611315,-5841.64207194513,4449.17286404976,-488.826308426233,-2.24344493772177,-3.68911241527747,-6.75838827247526
2450,51.4035035983276,57.9979350842047,417241.857194046,-5852.77333642551,4430.66094448982,-522.610212191048,-2.20904884152224,-3.71563537507971,-6.75513742505969
2455,51.3670127937185,58.4906743085325,417244.432105062,-5863.73248171667,4412.01665773492,-556.377324774212,-2.1746026350424,-3.74206602803698,-6.75167181720399
